crop,production,area,yield_val,year
Arecanut  ,182.5,167.7,108.8,2006-07
Arecanut  ,184.3,169.5,108.7,2007-08
Arecanut  ,185.5,169.7,109.3,2008-09
Arecanut  ,184.3,175.4,105.1,2009-10
Arecanut  ,184.3,175.4,105.1,2010-11
Arhar,97.0,99.7,97.3,2006-07
Arhar,128.9,104.3,123.6,2007-08
Arhar,94.9,94.5,100.4,2008-09
Arhar,103.3,97.0,106.5,2009-10
Arhar,119.9,122.2,98.1,2010-11
Bajra,136.4,94.5,144.3,2006-07
Bajra,161.5,95.1,169.7,2007-08
Bajra,143.9,87.0,165.4,2008-09
Bajra,105.4,88.5,119.0,2009-10
Bajra,167.9,95.6,175.8,2010-11
Banana  ,189.3,117.6,161.0,2006-07
Banana  ,201.1,131.2,153.3,2007-08
Banana  ,298.8,174.8,171.0,2008-09
Banana  ,301.7,189.8,159.0,2009-10
Banana  ,339.4,204.6,165.9,2010-11
Barley,88.1,72.8,121.0,2006-07
Barley,79.3,67.9,116.9,2007-08
Barley,112.0,79.5,141.0,2008-09
Barley,89.9,70.2,127.9,2009-10
Barley,110.3,79.4,138.9,2010-11
Black pepper,134.2,130.8,102.6,2006-07
Black pepper,91.5,104.7,87.4,2007-08
Black pepper,92.2,126.9,72.7,2008-09
Black pepper,99.2,104.2,95.2,2009-10
Black pepper,101.1,97.8,103.4,2010-11
Cardamom ,159.2,93.4,170.5,2006-07
Cardamom ,135.8,77.8,174.7,2007-08
Cardamom ,157.1,87.5,179.6,2008-09
Cardamom ,159.2,85.8,185.6,2009-10
Cardamom ,162.2,82.7,196.1,2010-11
Castor seed,124.7,91.7,136.0,2006-07
Castor seed,172.3,114.8,150.1,2007-08
Castor seed,191.6,126.4,151.5,2008-09
Castor seed,165.0,107.2,153.9,2009-10
Castor seed,220.9,128.5,171.9,2010-11
Cereals,164.1,130.0,126.3,2006-07
Cereals,174.6,129.9,134.4,2007-08
Cereals,177.7,130.3,136.4,2008-09
Cereals,164.4,126.8,129.7,2009-10
Cereals,183.1,129.8,141.1,2010-11
Coarse Cereals,138.5,106.4,130.1,2006-07
Coarse Cereals,166.4,105.6,157.6,2007-08
Coarse Cereals,163.5,101.8,160.7,2008-09
Coarse Cereals,137.0,102.6,133.5,2009-10
Coarse Cereals,178.4,105.4,169.2,2010-11
Coconut,142.7,123.5,115.5,2006-07
Coconut,91.4,121.4,75.3,2007-08
Coconut,91.4,121.4,75.3,2008-09
Coconut,97.5,120.9,80.7,2009-10
Coconut,97.7,120.9,80.8,2010-11
Coffee ,138.0,117.9,117.0,2006-07
Coffee ,139.8,119.8,116.7,2007-08
Coffee ,139.9,121.9,114.8,2008-09
Coffee ,154.5,123.7,125.0,2009-10
Coffee ,161.1,125.4,128.5,2010-11
Coriander,126.4,79.1,159.8,2006-07
Coriander,167.9,94.8,177.2,2007-08
Coriander,131.3,97.9,134.1,2008-09
Coriander,128.5,88.8,144.7,2009-10
Coriander,261.3,130.7,199.9,2010-11
Cotton seed,186.1,121.7,152.9,2006-07
Cotton seed,212.8,125.3,169.9,2007-08
Cotton seed,183.2,125.2,146.3,2008-09
Cotton seed,197.5,134.8,146.5,2009-10
Cotton seed,271.3,149.5,181.5,2010-11
Cotton(lint),213.1,121.7,175.2,2006-07
Cotton(lint),243.8,125.3,194.6,2007-08
Cotton(lint),209.8,125.2,167.6,2008-09
Cotton(lint),226.2,134.8,167.8,2009-10
Cotton(lint),310.8,149.5,207.9,2010-11
Dry chilies ,163.5,83.6,195.5,2006-07
Dry chilies ,170.8,88.3,193.4,2007-08
Dry chilies ,167.1,85.4,195.8,2008-09
Dry chilies ,158.3,84.0,188.4,2009-10
Dry chilies ,160.9,86.8,185.5,2010-11
Dry ginger ,206.3,176.2,117.1,2006-07
Dry ginger ,200.6,172.9,116.0,2007-08
Dry ginger ,199.3,180.4,110.5,2008-09
Dry ginger ,202.0,179.4,112.6,2009-10
Dry ginger ,368.1,247.4,148.8,2010-11
Garlic  ,226.2,187.6,120.6,2006-07
Garlic  ,311.3,241.6,128.8,2007-08
Garlic  ,242.1,195.8,123.6,2008-09
Garlic  ,243.0,194.4,125.0,2009-10
Garlic  ,308.2,236.8,130.1,2010-11
Gram,140.6,122.3,115.0,2006-07
Gram,127.6,123.1,103.7,2007-08
Gram,156.5,128.8,121.7,2008-09
Gram,165.9,133.3,124.5,2009-10
Gram,182.5,149.9,121.7,2010-11
Groundnut,115.2,124.1,92.8,2006-07
Groundnut,217.5,139.1,156.3,2007-08
Groundnut,169.8,136.3,124.6,2008-09
Groundnut,128.6,121.1,106.2,2009-10
Groundnut,195.7,129.5,151.2,2010-11
Jowar,124.3,120.7,103.0,2006-07
Jowar,137.8,110.6,124.6,2007-08
Jowar,126.0,107.3,117.4,2008-09
Jowar,116.5,111.0,105.0,2009-10
Jowar,121.8,105.2,115.8,2010-11
Jute,220.3,103.6,212.7,2006-07
Jute,218.3,106.4,205.2,2007-08
Jute,205.8,102.6,200.5,2008-09
Jute,239.8,106.0,226.3,2009-10
Jute,213.8,101.1,211.5,2010-11
Jute & Mesta,200.7,95.7,209.7,2006-07
Jute & Mesta,199.6,98.3,203.0,2007-08
Jute & Mesta,184.5,92.2,200.1,2008-09
Jute & Mesta,210.4,92.7,227.0,2009-10
Jute & Mesta,189.1,89.3,211.8,2010-11
Linseed,55.9,47.9,116.8,2006-07
Linseed,54.4,51.3,106.1,2007-08
Linseed,56.4,44.8,126.0,2008-09
Linseed,51.2,37.5,136.5,2009-10
Linseed,48.8,39.4,123.9,2010-11
Maize,198.8,156.1,127.3,2006-07
Maize,249.6,160.5,155.5,2007-08
Maize,259.8,161.6,160.7,2008-09
Maize,220.1,163.4,134.7,2009-10
Maize,286.0,169.1,169.1,2010-11
Mesta,81.7,67.2,121.6,2006-07
Mesta,84.6,69.1,122.5,2007-08
Mesta,62.4,54.5,114.6,2008-09
Mesta,50.1,44.5,112.7,2009-10
Mesta,52.2,46.6,112.0,2010-11
Niger seed,65.1,75.7,86.0,2006-07
Niger seed,59.0,65.8,89.6,2007-08
Niger seed,63.0,63.5,99.2,2008-09
Niger seed,53.8,60.6,88.8,2009-10
Niger seed,58.0,59.9,96.9,2010-11
Nine Oilseeds,147.1,126.1,116.7,2006-07
Nine Oilseeds,180.2,126.9,142.0,2007-08
Nine Oilseeds,167.9,131.0,128.1,2008-09
Nine Oilseeds,150.7,123.4,122.1,2009-10
Nine Oilseeds,196.7,129.4,152.0,2010-11
Onion,240.5,207.7,115.8,2006-07
Onion,247.3,208.4,118.7,2007-08
Onion,367.1,246.8,148.8,2008-09
Onion,329.1,223.6,147.1,2009-10
Onion,409.1,314.7,130.0,2010-11
Other Pulses,139.1,131.3,105.9,2006-07
Other Pulses,148.9,133.8,111.3,2007-08
Other Pulses,131.4,117.1,112.2,2008-09
Other Pulses,118.4,126.1,93.9,2009-10
Other Pulses,179.5,139.1,129.0,2010-11
Potato,135.7,142.2,95.5,2006-07
Potato,174.2,148.8,117.1,2007-08
Potato,210.5,175.1,120.2,2008-09
Potato,223.8,175.8,127.4,2009-10
Potato,259.1,178.4,145.2,2010-11
Ragi,56.1,60.2,93.2,2006-07
Ragi,83.6,70.9,117.9,2007-08
Ragi,79.3,70.6,112.2,2008-09
Ragi,73.4,64.8,113.2,2009-10
Ragi,85.2,65.8,129.6,2010-11
Rapeseed &Mustard,138.7,107.0,129.6,2006-07
Rapeseed &Mustard,108.8,91.8,118.5,2007-08
Rapeseed &Mustard,134.3,99.3,135.2,2008-09
Rapeseed &Mustard,123.2,88.1,139.9,2009-10
Rapeseed &Mustard,152.5,108.8,140.2,2010-11
Rice,200.8,168.5,119.2,2006-07
Rice,207.9,168.9,123.1,2007-08
Rice,213.3,175.1,121.8,2008-09
Rice,191.6,161.2,118.9,2009-10
Rice,206.4,164.8,125.2,2010-11
Rubber ,215.5,98.6,218.5,2006-07
Rubber ,208.6,138.1,151.1,2007-08
Rubber ,216.5,143.8,151.9,2008-09
Rubber ,210.1,149.2,140.9,2009-10
Rubber ,210.1,149.2,140.9,2010-11
Safflower,67.3,55.8,120.6,2006-07
Safflower,62.8,47.4,132.6,2007-08
Safflower,53.0,43.6,121.5,2008-09
Safflower,50.1,42.6,117.5,2009-10
Safflower,42.1,36.1,116.7,2010-11
Sannhamp ,97.9,54.2,180.7,2006-07
Sannhamp ,93.0,51.4,182.7,2007-08
Sannhamp ,87.8,45.0,195.2,2008-09
Sannhamp ,69.0,45.0,179.4,2009-10
Sannhamp ,109.9,47.6,230.9,2010-11
Sesamum,95.5,74.2,128.7,2006-07
Sesamum,116.8,78.4,149.1,2007-08
Sesamum,98.8,78.8,125.4,2008-09
Sesamum,90.8,84.6,107.4,2009-10
Sesamum,137.9,90.7,151.9,2010-11
Small millets,53.9,50.9,106.0,2006-07
Small millets,61.9,52.3,118.3,2007-08
Small millets,50.0,45.6,109.7,2008-09
Small millets,42.9,41.8,102.7,2009-10
Small millets,82.0,45.0,182.4,2010-11
Soyabean,253.2,222.7,113.7,2006-07
Soyabean,313.8,237.5,132.1,2007-08
Soyabean,283.4,254.5,111.4,2008-09
Soyabean,285.1,260.3,109.5,2009-10
Soyabean,364.4,256.8,141.9,2010-11
Sugarcane,149.8,142.6,105.1,2006-07
Sugarcane,146.7,140.0,104.8,2007-08
Sugarcane,120.1,122.2,98.3,2008-09
Sugarcane,123.2,115.6,106.6,2009-10
Sugarcane,144.3,135.2,106.7,2010-11
Sunflower,161.3,175.0,92.2,2006-07
Sunflower,192.3,154.5,124.5,2007-08
Sunflower,152.2,146.5,103.9,2008-09
Sunflower,111.8,119.3,93.7,2009-10
Sunflower,85.6,75.1,114.0,2010-11
Sweet potato  ,81.1,75.8,106.9,2006-07
Sweet potato  ,79.3,75.4,105.2,2007-08
Sweet potato  ,94.2,88.4,106.6,2008-09
Sweet potato  ,92.1,84.6,108.8,2009-10
Sweet potato  ,88.1,80.4,109.6,2010-11
Tapioca,146.4,105.1,139.2,2006-07
Tapioca,151.5,103.9,145.7,2007-08
Tapioca,167.1,114.8,145.6,2008-09
Tapioca,140.0,95.1,147.1,2009-10
Tapioca,140.3,90.6,154.8,2010-11
Tea ,132.2,135.3,97.7,2006-07
Tea ,132.8,137.8,96.3,2007-08
Tea ,132.0,137.8,95.8,2008-09
Tea ,132.0,137.8,95.8,2009-10
Tea ,132.0,137.8,95.8,2010-11
Tobacco,88.1,88.8,99.1,2006-07
Tobacco,83.6,83.9,88.3,2007-08
Tobacco,96.4,94.2,102.4,2008-09
Tobacco,105.3,107.1,109.6,2009-10
Tobacco,140.9,118.8,118.6,2010-11
Total Fibers,186.1,118.3,157.3,2006-07
Total Fibers,203.5,121.7,167.2,2007-08
Total Fibers,179.1,120.9,148.2,2008-09
Total Fibers,196.6,129.4,152.0,2009-10
Total Fibers,239.3,141.9,168.6,2010-11
Total Foodgrains,158.8,128.5,123.6,2006-07
Total Foodgrains,168.6,128.8,130.9,2007-08
Total Foodgrains,171.3,127.6,134.3,2008-09
Total Foodgrains,159.4,126.0,126.5,2009-10
Total Foodgrains,178.9,131.7,135.9,2010-11
Total Fruits & Vegetables,162.6,139.3,116.7,2006-07
Total Fruits & Vegetables,184.9,145.0,127.5,2007-08
Total Fruits & Vegetables,241.9,173.8,139.2,2008-09
Total Fruits & Vegetables,240.3,170.9,140.6,2009-10
Total Fruits & Vegetables,274.5,188.3,145.7,2010-11
Total Non-Food grains ,155.4,126.6,122.8,2006-07
Total Non-Food grains ,156.8,128.6,122.0,2007-08
Total Non-Food grains ,141.2,131.5,107.4,2008-09
Total Non-Food grains ,143.2,126.7,113.1,2009-10
Total Non-Food grains ,168.4,136.5,123.4,2010-11
Total Oilseeds,148.2,124.8,118.7,2006-07
Total Oilseeds,150.9,126.2,119.6,2007-08
Total Oilseeds,140.8,129.0,109.1,2008-09
Total Oilseeds,135.9,126.1,107.8,2009-10
Total Oilseeds,169.0,134.0,126.1,2010-11
Total Pulses,130.3,122.1,106.7,2006-07
Total Pulses,135.4,124.4,108.8,2007-08
Total Pulses,133.7,116.3,114.9,2008-09
Total Pulses,134.5,122.6,109.7,2009-10
Total Pulses,167.4,139.0,120.4,2010-11
Total Spices,1427.7,121.3,1176.6,2006-07
Total Spices,1571.5,125.9,1247.7,2007-08
Total Spices,1463.0,126.5,1156.8,2008-09
Total Spices,1430.3,122.0,1172.1,2009-10
Total Spices,1790.6,136.6,1310.8,2010-11
Turmeric ,158.6,134.3,118.1,2006-07
Turmeric ,160.1,131.9,121.4,2007-08
Turmeric ,165.5,136.2,121.5,2008-09
Turmeric ,159.8,136.2,117.4,2009-10
Turmeric ,200.2,146.7,136.4,2010-11
Wheat,131.6,115.0,114.4,2006-07
Wheat,136.4,115.2,118.4,2007-08
Wheat,140.1,114.0,122.8,2008-09
Wheat,140.3,116.9,120.0,2009-10
Wheat,150.8,119.5,126.3,2010-11
